iter	Passed	Remaining
0	194	388075
1	224	224116
2	257	171336
3	284	142170
4	312	124812
5	342	113711
6	372	105980
7	409	101907
8	439	97285
9	470	93530
10	505	91320
11	541	89776
12	579	88560
13	618	87792
14	650	86103
15	681	84553
16	713	83246
17	745	82093
18	778	81151
19	817	80889
20	847	79902
21	879	79113
22	913	78520
23	947	77985
24	978	77330
25	1020	77485
26	1052	76892
27	1083	76294
28	1114	75762
29	1146	75312
30	1179	74921
31	1217	74863
32	1251	74592
33	1282	74171
34	1312	73714
35	1346	73457
36	1376	73017
37	1414	73011
38	1446	72707
39	1476	72360
40	1507	72020
41	1536	71637
42	1567	71339
43	1604	71323
44	1636	71092
45	1667	70842
46	1700	70676
47	1730	70367
48	1762	70171
49	1800	70228
50	1833	70055
51	1862	69770
52	1893	69552
53	1924	69346
54	1955	69139
55	1996	69306
56	2037	69458
57	2080	69655
58	2124	69897
59	2166	70045
60	2203	70040
61	2241	70062
62	2276	70007
63	2307	69787
64	2339	69646
65	2374	69568
66	2413	69629
67	2457	69807
68	2499	69944
69	2540	70031
70	2574	69945
71	2613	69978
72	2644	69815
73	2675	69624
74	2705	69452
75	2736	69276
76	2771	69219
77	2810	69248
78	2841	69096
79	2871	68909
80	2902	68768
81	2933	68624
82	2963	68440
83	3004	68540
84	3037	68426
85	3069	68320
86	3100	68173
87	3130	68021
88	3165	67958
89	3204	68013
90	3236	67887
91	3265	67725
92	3298	67638
93	3330	67526
94	3360	67392
95	3400	67439
96	3433	67368
97	3466	67275
98	3498	67181
99	3531	67103
100	3567	67075
101	3609	67169
102	3642	67089
103	3676	67029
104	3712	66998
105	3753	67067
106	3796	67164
107	3835	67195
108	3871	67171
109	3907	67138
110	3938	67030
111	3978	67067
112	4011	66980
113	4045	66931
114	4077	66839
115	4110	66761
116	4141	66661
117	4180	66679
118	4211	66565
119	4241	66452
120	4277	66419
121	4307	66304
122	4337	66191
123	4374	66175
124	4403	66047
125	4434	65961
126	4465	65852
127	4498	65786
128	4528	65680
129	4565	65667
130	4598	65614
131	4629	65521
132	4660	65427
133	4696	65400
134	4731	65369
135	4769	65368
136	4807	65368
137	4847	65411
138	4879	65332
139	4909	65229
140	4947	65231
141	4978	65144
142	5010	65062
143	5044	65013
144	5082	65025
145	5114	64953
146	5151	64935
147	5184	64874
148	5215	64796
149	5248	64734
150	5282	64685
151	5315	64621
152	5356	64664
153	5393	64646
154	5428	64616
155	5462	64567
156	5494	64494
157	5531	64482
158	5562	64410
159	5595	64344
160	5626	64271
161	5657	64189
162	5690	64132
163	5729	64139
164	5760	64059
165	5792	63994
166	5821	63902
167	5856	63861
168	5892	63843
169	5929	63825
170	5961	63760
171	5994	63706
172	6028	63664
173	6062	63617
174	6095	63564
175	6137	63601
176	6171	63558
177	6203	63496
178	6247	63561
179	6284	63547
180	6329	63606
181	6365	63586
182	6401	63555
183	6437	63531
184	6471	63491
185	6511	63503
186	6541	63417
187	6571	63341
188	6604	63288
189	6637	63232
190	6671	63188
191	6714	63227
192	6756	63256
193	6793	63238
194	6830	63226
195	6881	63341
196	6928	63409
197	6966	63406
198	7011	63458
199	7056	63504
200	7101	63560
201	7143	63581
202	7180	63564
203	7213	63506
204	7246	63447
205	7286	63456
206	7316	63374
207	7355	63372
208	7388	63318
209	7426	63298
210	7474	63370
211	7516	63393
212	7556	63399
213	7595	63392
214	7630	63348
215	7672	63366
216	7705	63315
217	7737	63251
218	7771	63200
219	7804	63144
220	7834	63066
221	7877	63088
222	7910	63035
223	7942	62971
224	7978	62938
225	8010	62880
226	8050	62878
227	8083	62824
228	8116	62770
229	8148	62708
230	8181	62650
231	8214	62601
232	8252	62582
233	8284	62526
234	8317	62470
235	8347	62390
236	8378	62326
237	8409	62255
238	8446	62238
239	8480	62189
240	8514	62144
241	8545	62075
242	8575	62007
243	8607	61948
244	8643	61918
245	8676	61860
246	8706	61791
247	8739	61742
248	8771	61679
249	8803	61623
250	8839	61592
251	8870	61530
252	8903	61483
253	8938	61446
254	8971	61396
255	9003	61337
256	9040	61311
257	9072	61256
258	9108	61225
259	9140	61172
260	9171	61109
261	9205	61064
262	9241	61038
263	9275	60992
264	9308	60942
265	9341	60893
266	9375	60852
267	9408	60801
268	9445	60780
269	9476	60718
270	9508	60666
271	9540	60609
272	9573	60562
273	9606	60516
274	9644	60495
275	9677	60450
276	9712	60411
277	9747	60378
278	9782	60344
279	9816	60299
280	9852	60272
281	9881	60198
282	9915	60158
283	9953	60142
284	9993	60133
285	10032	60123
286	10076	60141
287	10110	60098
288	10144	60060
289	10177	60014
290	10212	59974
291	10246	59936
292	10294	59976
293	10334	59970
294	10366	59914
295	10399	59867
296	10442	59877
297	10479	59850
298	10514	59814
299	10551	59789
300	10584	59743
301	10625	59739
302	10662	59715
303	10699	59690
304	10746	59724
305	10799	59784
306	10841	59788
307	10890	59826
308	10968	60024
309	11031	60141
310	11097	60271
311	11143	60288
312	11198	60356
313	11258	60451
314	11315	60530
315	11395	60727
316	11462	60854
317	11512	60891
318	11558	60906
319	11612	60965
320	11655	60964
321	11701	60977
322	11753	61023
323	11800	61040
324	11854	61094
325	11900	61111
326	11949	61138
327	11985	61096
328	12026	61082
329	12064	61055
330	12103	61027
331	12136	60975
332	12172	60936
333	12205	60879
334	12242	60848
335	12280	60816
336	12321	60804
337	12367	60814
338	12407	60795
339	12445	60764
340	12480	60719
341	12516	60678
342	12550	60630
343	12585	60588
344	12618	60530
345	12663	60538
346	12705	60526
347	12746	60509
348	12781	60463
349	12819	60433
350	12858	60410
351	12902	60408
352	12957	60456
353	12993	60417
354	13039	60422
355	13088	60443
356	13146	60504
357	13197	60530
358	13259	60608
359	13317	60669
360	13370	60705
361	13417	60711
362	13460	60701
363	13502	60686
364	13536	60637
365	13572	60593
366	13610	60562
367	13647	60524
368	13684	60487
369	13722	60451
370	13759	60413
371	13797	60382
372	13835	60351
373	13871	60306
374	13911	60283
375	13949	60250
376	13987	60214
377	14032	60215
378	14069	60174
379	14109	60152
380	14145	60108
381	14182	60069
382	14216	60020
383	14252	59978
384	14288	59935
385	14325	59898
386	14363	59864
387	14397	59817
388	14434	59778
389	14473	59748
390	14507	59699
391	14543	59659
392	14578	59611
393	14614	59572
394	14650	59531
395	14685	59485
396	14722	59447
397	14760	59411
398	14799	59384
399	14836	59346
400	14874	59312
401	14915	59291
402	14957	59271
403	15000	59257
404	15045	59251
405	15080	59207
406	15117	59168
407	15154	59134
408	15193	59101
409	15229	59061
410	15266	59023
411	15304	58989
412	15341	58951
413	15376	58906
414	15412	58863
415	15445	58812
416	15484	58780
417	15520	58738
418	15556	58697
419	15592	58656
420	15627	58612
421	15663	58572
422	15702	58542
423	15741	58510
424	15778	58473
425	15814	58433
426	15854	58406
427	15895	58381
428	15932	58345
429	15971	58314
430	16014	58299
431	16056	58280
432	16091	58233
433	16130	58204
434	16186	58234
435	16227	58209
436	16269	58189
437	16324	58216
438	16365	58191
439	16401	58151
440	16438	58111
441	16474	58069
442	16510	58027
443	16545	57985
444	16587	57964
445	16624	57924
446	16664	57897
447	16701	57857
448	16735	57811
449	16774	57779
450	16818	57764
451	16866	57765
452	16929	57812
453	16974	57804
454	17019	57792
455	17064	57778
456	17110	57770
457	17151	57745
458	17190	57713
459	17227	57675
460	17264	57636
461	17303	57602
462	17339	57561
463	17372	57509
464	17409	57470
465	17448	57437
466	17481	57386
467	17515	57338
468	17548	57285
469	17583	57240
470	17616	57189
471	17653	57148
472	17688	57105
473	17726	57069
474	17763	57031
475	17802	56999
476	17839	56957
477	17875	56916
478	17909	56870
479	17945	56827
480	17981	56785
481	18019	56748
482	18054	56706
483	18091	56665
484	18154	56709
485	18197	56689
486	18239	56665
487	18287	56661
488	18333	56650
489	18371	56615
490	18430	56644
491	18485	56659
492	18528	56637
493	18575	56628
494	18636	56663
495	18696	56692
496	18750	56705
497	18800	56705
498	18846	56691
499	18895	56685
500	18941	56674
501	18984	56651
502	19031	56640
503	19093	56674
504	19145	56677
505	19199	56687
506	19253	56698
507	19311	56719
508	19365	56726
509	19413	56718
510	19460	56707
